UID          PID    PPID  C STIME TTY          TIME CMD
fusion      2708    2613  0 10:12 ?        00:00:08 /opt/google/chrome/chrome --type=renderer --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --extension-process --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
fusion      2730    2613  0 10:12 ?        00:00:12 /opt/google/chrome/chrome --type=renderer --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --extension-process --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=6 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
fusion      2803    2613  0 10:12 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=11 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
fusion      2828    1699  0 10:12 ?        00:00:14 ./jetbrains-toolbox --minimize
fusion      2836    1473  0 10:12 ?        00:00:02 /home/fusion/.local/share/JetBrains/Toolbox/bin/jetbrains-toolbox --minimize
fusion      2887    2828  0 10:12 ?        00:00:00 /tmp/.mount_jetbrasQ5do3/jetbrains-toolbox-helper --type=zygote --no-zygote-sandbox --no-sandbox --log-file=/home/fusion/.local/share/JetBrains/Toolbox/logs/toolbox-ui.log --resources-dir-path=/tmp/.mount_jetbrasQ5do3 --lang=en-US
fusion      2888    2828  0 10:12 ?        00:00:00 /tmp/.mount_jetbrasQ5do3/jetbrains-toolbox-helper --type=zygote --no-sandbox --log-file=/home/fusion/.local/share/JetBrains/Toolbox/logs/toolbox-ui.log --resources-dir-path=/tmp/.mount_jetbrasQ5do3 --lang=en-US
fusion      2964    2613  2 10:12 ?        00:01:23 /opt/google/chrome/chrome --type=renderer --field-trial-handle=8050602024444388220,17335724096858069405,131072 --lang=en-US --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=27 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
fusion      2986    2887  0 10:12 ?        00:00:00 /tmp/.mount_jetbrasQ5do3/jetbrains-toolbox-helper --type=gpu-process --field-trial-handle=6634971166951245478,6638250213966279789,131072 --enable-features=CastMediaRouteProvider --no-sandbox --log-file=/home/fusion/.local/share/JetBrains/Toolbox/logs/toolbox-ui.log --resources-dir-path=/tmp/.mount_jetbrasQ5do3 --lang=en-US --gpu-preferences=OAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAA== --use-gl=swiftshader-webgl --log-file=/home/fusion/.local/share/JetBrains/Toolbox/logs/toolbox-ui.log --shared-files
fusion      2995    2828  0 10:12 ?        00:00:00 /tmp/.mount_jetbrasQ5do3/jetbrains-toolbox-helper --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=6634971166951245478,6638250213966279789,131072 --enable-features=CastMediaRouteProvider --lang=en-US --service-sandbox-type=network --no-sandbox --log-file=/home/fusion/.local/share/JetBrains/Toolbox/logs/toolbox-ui.log --resources-dir-path=/tmp/.mount_jetbrasQ5do3 --lang=en-US --log-file=/home/fusion/.local/share/JetBrains/Toolbox/logs/toolbox-ui.log --shared-files=v8_context_snapshot_data:100
fusion      2998    2888  0 10:12 ?        00:00:00 /tmp/.mount_jetbrasQ5do3/jetbrains-toolbox-helper --type=renderer --no-sandbox --log-file=/home/fusion/.local/share/JetBrains/Toolbox/logs/toolbox-ui.log --field-trial-handle=6634971166951245478,6638250213966279789,131072 --enable-features=CastMediaRouteProvider --disable-gpu-compositing --lang=en-US --log-file=/home/fusion/.local/share/JetBrains/Toolbox/logs/toolbox-ui.log --resources-dir-path=/tmp/.mount_jetbrasQ5do3 --disable-extensions --disable-plugins --uncaught-exception-stack-size=16 --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
